"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Properties", "TypeScript", "Markdown", "HTML", "PostCSS", "XML", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"d:\Диплом\accounting_of_working\test\src\features\dispatcher\pages\reports\Reports.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 388, 0, 4, 51, 443
"d:\Диплом\accounting_of_working\test\src\features\master\api.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"d:\Диплом\accounting_of_working\test\src\features\master\masterLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 6, 56
"d:\Диплом\accounting_of_working\test\src\features\master\pages\AddRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 12, 159
"d:\Диплом\accounting_of_working\test\src\features\master\pages\ListRequest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 28, 273
"d:\Диплом\accounting_of_working\test\src\features\mechanic\MechanicLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 6, 74
"d:\Диплом\accounting_of_working\test\src\features\mechanic\api.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 7, 51
"d:\Диплом\accounting_of_working\test\src\features\mechanic\components\CompleteRequestModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 17, 159
"d:\Диплом\accounting_of_working\test\src\features\mechanic\components\CreateManualRequestModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 11, 16, 170
"d:\Диплом\accounting_of_working\test\src\features\mechanic\components\RequestDetailsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 9, 61
"d:\Диплом\accounting_of_working\test\src\features\mechanic\pages\MechanicOrderWarehouse.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 1, 14, 104
